2025-12-09 19:44:28 | INFO     | main                           | main                 | ================================================================================
2025-12-09 19:44:28 | INFO     | main                           | main                 | DocFlow Eventuales v4.0 - Iniciando aplicación
2025-12-09 19:44:28 | INFO     | main                           | main                 | ================================================================================
2025-12-09 19:44:28 | INFO     | main                           | main                 | Sistema operativo: win32
2025-12-09 19:44:28 | INFO     | main                           | main                 | Versión Python: 3.13.9
2025-12-09 19:44:28 | INFO     | main                           | main                 | --------------------------------------------------------------------------------
2025-12-09 19:44:28 | INFO     | main                           | main                 | Configurando aplicación Qt...
2025-12-09 19:44:29 | INFO     | main                           | main                 | ✅ Aplicación Qt configurada correctamente
2025-12-09 19:44:29 | INFO     | main                           | main                 | Mostrando splash screen...
2025-12-09 19:44:40 | INFO     | main                           | main                 | ✅ Splash screen mostrado
2025-12-09 19:44:40 | INFO     | main                           | main                 | Iniciando event loop de Qt...
2025-12-09 19:44:43 | INFO     | main                           | on_splash_finished   | Splash screen completado, cargando ventana principal...
2025-12-09 19:44:43 | INFO     | main                           | on_splash_finished   | ✅ Ventana principal cargada y mostrada
2025-12-09 19:44:43 | INFO     | main                           | on_splash_finished   | --------------------------------------------------------------------------------
2025-12-09 19:44:43 | INFO     | main                           | on_splash_finished   | 🚀 Aplicación lista para usar
2025-12-09 19:44:43 | INFO     | main                           | on_splash_finished   | ================================================================================
2025-12-09 22:11:53 | INFO     | main                           | main                 | ================================================================================
2025-12-09 22:11:53 | INFO     | main                           | main                 | DocFlow Eventuales v4.0 - Iniciando aplicación
2025-12-09 22:11:53 | INFO     | main                           | main                 | ================================================================================
2025-12-09 22:11:53 | INFO     | main                           | main                 | Sistema operativo: win32
2025-12-09 22:11:53 | INFO     | main                           | main                 | Versión Python: 3.13.9
2025-12-09 22:11:53 | INFO     | main                           | main                 | --------------------------------------------------------------------------------
2025-12-09 22:11:53 | INFO     | main                           | main                 | Configurando aplicación Qt...
2025-12-09 22:11:53 | INFO     | main                           | main                 | ✅ Aplicación Qt configurada correctamente
2025-12-09 22:11:53 | INFO     | main                           | main                 | Mostrando splash screen...
2025-12-09 22:12:03 | INFO     | main                           | main                 | ✅ Splash screen mostrado
2025-12-09 22:12:03 | INFO     | main                           | main                 | Iniciando event loop de Qt...
2025-12-09 22:12:07 | INFO     | main                           | on_splash_finished   | Splash screen completado, cargando ventana principal...
2025-12-09 22:12:07 | INFO     | main                           | on_splash_finished   | ✅ Ventana principal cargada y mostrada
2025-12-09 22:12:07 | INFO     | main                           | on_splash_finished   | --------------------------------------------------------------------------------
2025-12-09 22:12:07 | INFO     | main                           | on_splash_finished   | 🚀 Aplicación lista para usar
2025-12-09 22:12:07 | INFO     | main                           | on_splash_finished   | ================================================================================
2025-12-09 22:12:24 | INFO     | main                           | main                 | --------------------------------------------------------------------------------
2025-12-09 22:12:24 | INFO     | main                           | main                 | Aplicación cerrada con código: 0
2025-12-09 22:12:24 | INFO     | main                           | main                 | ================================================================================
2025-12-09 22:55:48 | INFO     | main                           | main                 | ================================================================================
2025-12-09 22:55:48 | INFO     | main                           | main                 | DocFlow Eventuales v4.0 - Iniciando aplicación
2025-12-09 22:55:48 | INFO     | main                           | main                 | ================================================================================
2025-12-09 22:55:48 | INFO     | main                           | main                 | Sistema operativo: win32
2025-12-09 22:55:48 | INFO     | main                           | main                 | Versión Python: 3.13.9
2025-12-09 22:55:48 | INFO     | main                           | main                 | --------------------------------------------------------------------------------
2025-12-09 22:55:48 | INFO     | main                           | main                 | Configurando aplicación Qt...
2025-12-09 22:55:48 | INFO     | main                           | main                 | ✅ Aplicación Qt configurada correctamente
2025-12-09 22:55:48 | INFO     | main                           | main                 | Mostrando splash screen...
2025-12-09 22:55:58 | INFO     | main                           | main                 | ✅ Splash screen mostrado
2025-12-09 22:55:58 | INFO     | main                           | main                 | Iniciando event loop de Qt...
2025-12-09 22:56:01 | INFO     | main                           | on_splash_finished   | Splash screen completado, cargando ventana principal...
2025-12-09 22:56:01 | INFO     | main                           | on_splash_finished   | ✅ Ventana principal cargada y mostrada
2025-12-09 22:56:01 | INFO     | main                           | on_splash_finished   | --------------------------------------------------------------------------------
2025-12-09 22:56:01 | INFO     | main                           | on_splash_finished   | 🚀 Aplicación lista para usar
2025-12-09 22:56:01 | INFO     | main                           | on_splash_finished   | ================================================================================
2025-12-09 22:56:12 | INFO     | main                           | main                 | --------------------------------------------------------------------------------
2025-12-09 22:56:12 | INFO     | main                           | main                 | Aplicación cerrada con código: 0
2025-12-09 22:56:12 | INFO     | main                           | main                 | ================================================================================
